Nr.p.k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adrese,Tālrunis,Epasts,Direktors,Izglītojamo skaits 
1,AIZKRAUKLES NOVADS,4535003583,Aizkraukles Profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Izglītības un zinātnes ministrija,"JAUNCELTNES IELA 21, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101",65121035,aizkavs@inbox.lv,RUTA KRŪKLE,325
2,AUGŠDAUGAVAS NOVADS,4213903005,Bebrenes vispārizglītojošā un profesionālā vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,"Bebrenes muiža, BEBRENE, BEBRENES PAGASTS, AUGŠDAUGAVAS NOVADS, LV-5439","65444936, 65425966",skola@bebrene.lv,ĒRIKA ŠARŠUNE,131
3,BALVU NOVADS,4213903598,Balvu profesionālā un vispārizglītojošā vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,"VIDZEMES IELA 26, BALVI, BALVU NOVADS, LV-4501",26178911,bpvv@balvi.lv,BIRUTA VIZULE,116
4,CĒSU NOVADS,4435303590,Alfrēda Kalniņa Cēsu mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Kultūras ministrija,"RAUNAS IELA 12 - 2, CĒSIS, CĒSU NOVADS, LV-4101",64125385,akcmv@akcmv.gov.lv,VIGO RAČEVSKIS,46
5,CĒSU NOVADS,4436003580,Vidzemes Tehnoloģiju un dizaina tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"EGĻU GATVE 9, PRIEKUĻI, PRIEKUĻU PAGASTS, CĒSU NOVADS, LV-4126",64130602,info@vtdt.edu.lv,ARTŪRS SŅEGOVIČS,898
6,DAUGAVPILS,2735303593,Staņislava Broka Daugavpils Mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Kultūras ministrija,"KANDAVAS IELA 2A, DAUGAVPILS, LV-5401",65407900,sbdmv@sbdmv.lv,AIVARS BROKS,85
7,DAUGAVPILS,2736003566,Daugavpils Tehnoloģiju un tūrisma tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"STRĀDNIEKU IELA 16, DAUGAVPILS, LV-5404","65436893, 27741511",pasts@dttt.lv,ĀRIJA ĻAKSA,943
8,DAUGAVPILS,2736003570,Latgales Industriālais tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"JĀTNIEKU IELA 87, DAUGAVPILS, LV-5410",65446296,lint@lint.lv,INĀRA OSTROVSKA,1287
9,DAUGAVPILS,2737903595,"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Pašvaldība ,"SAULES IELA 8, DAUGAVPILS, LV-5401","65424576, 26428390",saules.skola@saules.lv,INGUNA KOKINA,231
10,DAUGAVPILS,2797002489,"Daugavpils Universitātes aģentūra ""Daugavpils Universitātes Daugavpils medicīnas koledža""",Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"VARŠAVAS IELA 26a, DAUGAVPILS, LV-5404",65437943,info@dmk.lv,LĪVIJA JANKOVSKA,60
11,DOBELES NOVADS,4535903601,Dobeles Amatniecības un vispārizglītojošā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Pašvaldība ,"KATOĻU IELA 1, DOBELE, DOBELES NOVADS, LV-3701",63781303,davv@dobele.lv,ROMĀNS GRIŠKEVIČS,310
12,JELGAVA,2835303594,Jelgavas Mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Kultūras ministrija,"LAPSKALNA IELA 2, JELGAVA, LV-3007",63022173,pasts@jmv.lv,ZANE ANDŽĀNE,60
13,JELGAVA,2835903599,"Jelgavas valstpilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Pašvaldība ,"AKADĒMIJAS IELA 25, JELGAVA, LV-3001",63020305,avsk@izglitiba.jelgava.lv,EDĪTE BIŠERE,473
14,JELGAVA,2836003567,Jelgavas tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"PULKVEŽA OSKARA KALPAKA IELA 37, JELGAVA, LV-3001",63025605,info@jelgavastehnikums.lv,JANĪNA RUDZĪTE,943
15,JELGAVAS NOVADS,4513902986,Zaļenieku komerciālā un amatniecības vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,"JELGAVAS IELA 7, ZAĻENIEKI, ZAĻENIEKU PAG., JELGAVAS NOVADS, LV-3011",63074474,zaleniekukav@jelgavasnovads.lv,DACE VĪPULE-KUĻIKA,82
16,JĒKABPILS NOVADS,1097003153,Jēkabpils Agrobiznesa koledža,Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"PASTA IELA 1, JĒKABPILS, JĒKABPILS NOVADS, LV-5201",65231726,koledza@jak.lv,RITA POLE,602
17,JŪRMALA,2935803618,Jūrmalas profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Labklājības ministrija,"SLOKAS IELA 68, JŪRMALA, LV-2015",28304941,jpv@siva.gov.lv,INGUNA ZUŠEVICA,27
18,JŪRMALA,2936803596,Bulduru Tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Juridiska vai fiziska persona,"VIESTURA IELA 6, JŪRMALA, LV-2010",28341531,bulduri@bulduri.lv,IEVA VINCOVSKA,241
19,KULDĪGAS NOVADS,4136003569,Kuldīgas Tehnoloģiju un tūrisma tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"LIEPĀJAS IELA 31, KULDĪGA, KULDĪGAS NOVADS, LV-3301",63322570,kuldigasttt@inbox.lv,DACE CINE,512
20,LIEPĀJA,3036003572,Liepājas Valsts tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"VENTSPILS IELA 51, LIEPĀJA, LV-3405",63441110,lvt@lvt.lv,AGRIS RUPERTS,1283
